date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,source
2025-07-16,111.9375,111.3,3633.0,82.1375,58.52916666666667,107.79166666666667,1.2841666666666667,0.0,1.0291666666666666,187.08333333333334,127.70833333333333,
2025-07-17,106.14999999999999,105.73333333333333,3014.875,86.375,60.49583333333334,89.91666666666667,1.1866666666666668,0.0,0.8604166666666666,179.0,122.20833333333333,
2025-07-18,118.30833333333334,118.02083333333333,2504.875,98.70833333333333,72.27916666666667,86.79166666666667,1.1429166666666666,0.0,0.93125,184.45833333333334,135.58333333333334,
2025-07-19,100.22916666666667,99.6375,2430.75,90.73333333333333,58.82916666666667,80.66666666666667,0.6708333333333334,0.0,1.9604166666666665,179.08333333333334,126.58333333333333,
2025-07-20,100.02916666666665,99.49166666666667,1651.875,84.65416666666667,57.824999999999996,88.75,0.9454166666666667,0.0,1.3604166666666666,174.79166666666666,118.83333333333333,
2025-07-21,99.78333333333335,99.07916666666667,1827.4583333333333,86.66666666666667,51.824999999999996,79.75,0.785,0.0,1.6520833333333333,173.41666666666666,119.83333333333333,
2025-07-22,106.04166666666667,105.43333333333334,1829.1666666666667,86.01666666666667,52.19583333333333,87.04166666666667,0.6537499999999999,0.0,1.8625,178.25,122.75,
2025-07-23,95.97083333333335,95.46666666666665,1761.125,83.47916666666667,49.30833333333334,78.16666666666667,0.5066666666666667,0.0,2.0125,174.33333333333334,121.41666666666667,
2025-07-24,97.00833333333333,96.76666666666667,1926.6666666666667,81.40416666666667,53.05833333333334,91.375,0.6670833333333334,0.0,1.8062500000000001,175.29166666666666,114.875,
2025-07-25,100.72916666666667,100.35000000000001,1537.5833333333333,79.65416666666667,48.550000000000004,80.54166666666667,0.6270833333333333,0.0,1.7395833333333333,174.58333333333334,120.0,
2025-07-26,110.78750000000001,110.06666666666666,1481.1666666666667,75.54166666666667,48.354166666666664,84.75,0.6633333333333333,0.25,1.7750000000000001,178.66666666666666,125.0,
2025-07-27,110.41250000000001,109.8,2024.0,78.8625,55.6,103.625,1.0479166666666666,0.25,1.5020833333333332,185.54166666666666,128.0,
2025-07-28,89.18333333333334,88.67083333333333,2970.4583333333335,73.87083333333334,50.65833333333333,86.875,1.13875,0.0,1.34375,175.625,118.04166666666667,
